Date, Open, High, Low, Close
09/12/11, 5214.45, 5214.45, 5059.22, 5129.62
09/09/11, 5339.90, 5352.03, 5202.24, 5214.65
09/08/11, 5318.41, 5369.82, 5269.70, 5340.38
09/07/11, 5157.81, 5322.21, 5157.81, 5318.59
09/06/11, 5102.39, 5190.27, 5086.79, 5156.84
09/05/11, 5289.27, 5289.27, 5097.71, 5102.58
09/02/11, 5418.50, 5418.50, 5258.50, 5292.03
09/01/11, 5394.52, 5449.67, 5346.70, 5418.65
08/31/11, 5268.68, 5411.60, 5258.62, 5394.53
08/30/11, 5129.98, 5283.60, 5129.98, 5268.66
08/29/11, 5129.92, 5149.51, 5014.79, 5129.92
08/26/11, 5131.07, 5149.51, 5014.79, 5129.92
08/25/11, 5207.00, 5254.17, 5102.06, 5131.10
08/24/11, 5129.55, 5250.59, 5098.14, 5205.85
08/23/11, 5095.49, 5193.17, 5076.74, 5129.42
08/22/11, 5040.71, 5182.98, 4993.34, 5095.30
08/19/11, 5092.19, 5107.91, 4929.55, 5040.76
08/18/11, 5331.41, 5331.41, 5041.59, 5092.23
08/17/11, 5357.58, 5371.08, 5279.93, 5331.60
08/16/11, 5348.88, 5362.15, 5265.83, 5357.63
08/15/11, 5320.24, 5377.23, 5319.38, 5350.58
08/12/11, 5162.66, 5320.03, 5099.31, 5320.03
08/11/11, 5015.53, 5172.66, 4943.01, 5162.83
08/10/11, 5165.81, 5262.72, 4990.79, 5007.16
08/09/11, 5068.92, 5175.60, 4791.01, 5164.92
08/08/11, 5246.62, 5295.78, 5062.42, 5068.95
08/05/11, 5392.81, 5392.81, 5202.62, 5246.99
08/04/11, 5585.06, 5644.05, 5393.14, 5393.14
08/03/11, 5718.14, 5718.14, 5557.74, 5584.51
08/02/11, 5774.40, 5778.92, 5705.34, 5718.39
08/01/11, 5816.33, 5913.46, 5767.06, 5774.43
07/29/11, 5872.96, 5872.96, 5772.43, 5815.19
07/28/11, 5856.48, 5882.56, 5801.58, 5873.21
07/27/11, 5929.58, 5932.00, 5841.03, 5856.58
07/26/11, 5925.33, 5951.34, 5895.58, 5929.73
07/25/11, 5934.36, 5938.55, 5892.64, 5925.26
07/22/11, 5899.95, 5966.84, 5899.95, 5935.02
07/21/11, 5853.89, 5934.28, 5797.48, 5899.89
07/20/11, 5790.08, 5856.36, 5790.05, 5853.82
07/19/11, 5752.97, 5801.99, 5752.97, 5789.99
07/18/11, 5843.17, 5843.17, 5752.81, 5752.81
07/15/11, 5838.46, 5863.57, 5805.99, 5843.66
07/14/11, 5905.93, 5905.93, 5841.17, 5846.95
07/13/11, 5868.78, 5911.00, 5850.96, 5906.43
07/12/11, 5928.29, 5928.43, 5793.04, 5868.96
07/11/11, 5988.93, 5998.58, 5900.75, 5929.16
07/08/11, 6055.37, 6084.08, 5981.73, 5990.58
07/07/11, 6003.05, 6071.67, 6003.05, 6054.55
07/06/11, 6024.44, 6026.48, 5973.82, 6002.92
07/05/11, 6017.44, 6036.31, 6011.07, 6024.03
07/04/11, 5989.77, 6030.82, 5985.69, 6017.54
